"check_date","link_id","prcs_spd","prcs_trv_time"
"2018-08-28 21:06:58.44","1220003800",70,154
"2018-08-28 21:36:58.44","1220003800",72,150
"2018-08-28 22:06:58.44","1220003800",71,152
"2018-08-28 22:36:58.44","1220003800",60,180
"2018-08-28 23:06:58.44","1220003800",67,161
"2018-08-28 23:36:58.44","1220003800",74,146
"2018-08-29 00:06:58.44","1220003800",79,137
"2018-08-29 00:36:58.44","1220003800",84,129
"2018-08-29 01:06:58.44","1220003800",76,142
"2018-08-29 01:36:58.44","1220003800",80,135
"2018-08-29 02:06:58.44","1220003800",83,130
"2018-08-29 02:36:58.44","1220003800",84,129
"2018-08-29 03:06:58.44","1220003800",74,146
"2018-08-29 03:36:58.44","1220003800",84,129
"2018-08-29 04:06:58.44","1220003800",87,124
"2018-08-29 04:36:58.44","1220003800",75,144
"2018-08-29 05:06:58.44","1220003800",79,137
"2018-08-29 05:36:58.44","1220003800",80,135
"2018-08-29 06:06:58.44","1220003800",67,161
"2018-08-29 06:36:58.44","1220003800",72,150
"2018-08-29 07:06:58.44","1220003800",34,318
"2018-08-29 07:36:58.44","1220003800",16,675
"2018-08-29 08:06:58.44","1220003800",15,720
"2018-08-29 08:36:58.44","1220003800",17,635
"2018-08-29 09:06:58.44","1220003800",30,360
"2018-08-29 09:36:58.44","1220003800",20,540
"2018-08-29 10:06:58.44","1220003800",18,600
"2018-08-29 10:36:58.44","1220003800",20,540
"2018-08-29 11:06:58.44","1220003800",20,540
"2018-08-29 11:36:58.44","1220003800",21,514
"2018-08-29 12:06:58.44","1220003800",46,235
"2018-08-29 12:36:58.44","1220003800",47,230
"2018-08-29 13:06:58.44","1220003800",76,142
"2018-08-29 13:36:58.44","1220003800",29,372
"2018-08-29 14:06:58.44","1220003800",17,635
"2018-08-29 14:36:58.44","1220003800",26,415
"2018-08-29 15:06:58.44","1220003800",22,491
"2018-08-29 15:36:58.44","1220003800",18,600
"2018-08-29 16:06:58.44","1220003800",18,600
"2018-08-29 16:36:58.44","1220003800",14,771
"2018-08-29 17:06:58.44","1220003800",17,635
"2018-08-29 17:36:58.44","1220003800",13,830
"2018-08-29 18:06:58.44","1220003800",14,771
"2018-08-29 18:36:58.44","1220003800",13,830
"2018-08-29 19:06:58.44","1220003800",22,491
"2018-08-29 19:36:58.44","1220003800",67,161
"2018-08-29 20:06:58.44","1220003800",66,164
"2018-08-29 20:36:58.44","1220003800",62,174
"2018-08-29 21:06:58.44","1220003800",61,177
"2018-08-29 21:36:58.44","1220003800",68,159
"2018-08-29 22:06:58.44","1220003800",67,161
"2018-08-29 22:36:58.44","1220003800",70,154
"2018-08-29 23:06:58.44","1220003800",75,144
"2018-08-29 23:36:58.44","1220003800",77,140
"2018-08-30 00:06:58.44","1220003800",82,132
"2018-08-30 00:36:58.44","1220003800",86,126
"2018-08-30 01:06:58.44","1220003800",83,130
"2018-08-30 01:36:58.44","1220003800",80,135
"2018-08-30 02:06:58.44","1220003800",74,146
"2018-08-30 02:36:58.44","1220003800",84,129
"2018-08-30 03:06:58.44","1220003800",77,140
"2018-08-30 03:36:58.44","1220003800",74,146
"2018-08-30 04:06:58.44","1220003800",81,133
"2018-08-30 04:36:58.44","1220003800",82,132
"2018-08-30 05:06:58.44","1220003800",71,152
"2018-08-30 05:36:58.44","1220003800",71,152
"2018-08-30 06:06:58.44","1220003800",77,140
"2018-08-30 06:36:58.44","1220003800",72,150
"2018-08-30 07:06:58.44","1220003800",76,142
"2018-08-30 07:36:58.44","1220003800",29,372
"2018-08-30 08:06:58.44","1220003800",62,174
"2018-08-30 08:36:58.44","1220003800",76,142
"2018-08-30 09:06:58.44","1220003800",72,150
"2018-08-30 09:36:58.44","1220003800",76,142
"2018-08-30 10:06:58.44","1220003800",72,150
"2018-08-30 10:36:58.44","1220003800",31,348
"2018-08-30 11:06:58.44","1220003800",20,540
"2018-08-30 11:36:58.44","1220003800",21,514
"2018-08-30 12:06:58.44","1220003800",21,514
"2018-08-30 12:36:58.44","1220003800",30,360
"2018-08-30 13:06:58.44","1220003800",42,257
"2018-08-30 13:36:58.44","1220003800",72,150
"2018-08-30 14:06:58.44","1220003800",20,540
"2018-08-30 14:36:58.44","1220003800",22,491
"2018-08-30 15:06:58.44","1220003800",31,348
"2018-08-30 15:36:58.44","1220003800",27,400
"2018-08-30 16:06:58.44","1220003800",21,514
"2018-08-30 16:36:58.44","1220003800",19,568
"2018-08-30 17:06:58.44","1220003800",17,635
"2018-08-30 17:36:58.44","1220003800",20,540
"2018-08-30 18:06:58.44","1220003800",18,600
"2018-08-30 18:36:58.44","1220003800",17,635
"2018-08-30 19:06:58.44","1220003800",18,600
"2018-08-30 19:36:58.44","1220003800",16,675
"2018-08-30 20:06:58.44","1220003800",29,372
"2018-08-30 20:36:58.44","1220003800",72,150
"2018-08-30 21:06:58.44","1220003800",73,148
"2018-08-30 21:36:58.44","1220003800",73,148
"2018-08-30 22:06:58.44","1220003800",70,154
"2018-08-30 22:36:58.44","1220003800",67,161
"2018-08-30 23:06:58.44","1220003800",78,138
"2018-08-30 23:36:58.44","1220003800",81,133
"2018-08-31 00:06:58.44","1220003800",82,132
"2018-08-31 00:36:58.44","1220003800",86,126
"2018-08-31 01:06:58.44","1220003800",78,138
"2018-08-31 01:36:58.44","1220003800",85,127
"2018-08-31 02:06:58.44","1220003800",82,132
"2018-08-31 02:36:58.44","1220003800",83,130
"2018-08-31 03:06:58.44","1220003800",82,132
"2018-08-31 03:36:58.44","1220003800",77,140
"2018-08-31 04:06:58.44","1220003800",83,130
"2018-08-31 04:36:58.44","1220003800",89,121
"2018-08-31 05:06:58.44","1220003800",84,129
"2018-08-31 05:36:58.44","1220003800",79,137
"2018-08-31 06:06:58.44","1220003800",66,164
"2018-08-31 06:36:58.44","1220003800",65,166
"2018-08-31 07:06:58.44","1220003800",16,675
"2018-08-31 07:36:58.44","1220003800",13,830
"2018-08-31 08:06:58.44","1220003800",18,600
"2018-08-31 08:36:58.44","1220003800",17,635
"2018-08-31 09:06:58.44","1220003800",35,308
"2018-08-31 09:36:58.44","1220003800",21,514
"2018-08-31 10:06:58.44","1220003800",20,540
"2018-08-31 10:36:58.44","1220003800",22,491
"2018-08-31 11:06:58.44","1220003800",79,137
"2018-08-31 11:36:58.44","1220003800",22,491
"2018-08-31 12:06:58.44","1220003800",25,432
"2018-08-31 12:36:58.44","1220003800",29,372
"2018-08-31 13:06:58.44","1220003800",27,400
"2018-08-31 13:36:58.44","1220003800",33,327
"2018-08-31 14:06:58.44","1220003800",30,360
"2018-08-31 15:06:58.44","1220003800",20,540
"2018-08-31 15:36:58.44","1220003800",20,540
"2018-08-31 16:06:58.44","1220003800",20,540
"2018-08-31 16:36:58.44","1220003800",17,635
"2018-08-31 17:06:58.44","1220003800",15,720
"2018-08-31 17:36:58.44","1220003800",16,675
"2018-08-31 18:06:58.44","1220003800",12,900
"2018-08-31 18:36:58.44","1220003800",10,1080
"2018-08-31 19:06:58.44","1220003800",15,720
"2018-08-31 19:36:58.44","1220003800",28,386
"2018-08-31 20:06:58.44","1220003800",73,148
"2018-08-31 20:36:58.44","1220003800",10,1080
"2018-08-31 21:06:58.44","1220003800",7,1542
"2018-08-31 22:06:58.44","1220003800",27,400
"2018-08-31 22:36:58.44","1220003800",74,146
"2018-08-31 23:06:58.44","1220003800",73,148
"2018-08-31 23:36:58.44","1220003800",78,138
"2018-09-01 00:06:58.44","1220003800",79,137
"2018-09-01 00:36:58.44","1220003800",80,135
"2018-09-01 01:06:58.44","1220003800",81,133
"2018-09-01 01:36:58.44","1220003800",84,129
"2018-09-01 02:06:58.44","1220003800",88,123
